Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: filename,Param: thumbSize
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,167,181,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"1,441,993","17,062",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,0,1,s/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,253,565,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"126,397,114","1,124,864",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,215,"6,802",MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"113,515,920","3,586,995,751",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,1,NaN,counts,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,2,NaN,ms,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,4,8,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,231,372,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"1,205,965,056","5,297,902",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,206,332,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,073,741,824",0,B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen,avgt,1,3,260,"2,113",MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,399,379,469","12,634,751,852",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,1,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"734,987","4,722,274",B/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,6,NaN,counts,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,892,NaN,ms,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,2,3,s/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,152,194,MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"373,372,917","4,006,044",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,141,"4,471",MB/sec,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"357,913,941","11,309,742,166",B/op,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,1,NaN,counts,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,124,NaN,ms,building-30mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,4,1,s/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,188,31,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"902,691,331","2,602,423",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,208,258,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"995,483,835","1,071,038,732",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,2,MB/sec,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"356,808","11,274,290",B/op,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,3,NaN,counts,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,6,NaN,ms,mountains-20mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,12,30,s/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,215,461,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"2,865,289,707","5,596,801",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,109,999,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,431,655,765","11,309,742,166",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen,avgt,1,3,105,227,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"1,398,889,357","25,676,528",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,2,MB/sec,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"1,115,523","32,193,142",B/op,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,4,NaN,counts,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,"1,204",NaN,ms,australia-250mb.png,200
thumbnail.ThumbnailBenchmark.scalrSimple,avgt,1,3,11,1,s/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate,avgt,1,3,143,10,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.alloc.rate.norm,avgt,1,3,"1,704,356,048","6,033,412",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space,avgt,1,3,90,6,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"1,073,741,824",0,B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen,avgt,1,3,71,4,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Old_Gen.norm,avgt,1,3,"852,062,701","6,971,046",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space,avgt,1,3,0,0,MB/sec,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.churn.PS_Survivor_Space.norm,avgt,1,3,"790,456","2,155,436",B/op,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.count,avgt,1,3,6,NaN,counts,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrSimple:ובgc.time,avgt,1,3,342,NaN,ms,salt-lake-340mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,0,0,s/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,162,53,MB/sec,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"2,543,165","38,485",B/op,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,0,NaN,counts,land-100kb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,1,1,s/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,233,141,MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"238,473,185","2,229,940",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space,avgt,1,3,169,"5,328",MB/sec,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.churn.PS_Eden_Space.norm,avgt,1,3,"176,878,352","5,589,188,698",B/op,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.count,avgt,1,3,1,NaN,counts,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.time,avgt,1,3,70,NaN,ms,crowd-3mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer,avgt,1,3,8,6,s/op,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate,avgt,1,3,250,166,MB/sec,land-8mb.jpg,200
thumbnail.ThumbnailBenchmark.scalrTikaTransformer:ובgc.alloc.rate.norm,avgt,1,3,"2,271,984,827","5,265,119",B/op,land-8mb.jpg,200
